sha256,case_ratio,characters_count,under_line_count,under_line_ratio,word_count,word_len_avg,operator_count,operator_ratio,string_variables,string_len_word_avg,string_word_ratio,comment_words_count,comment_lines_count,comment_len_word_avg,comment_char_entropy,code_words_count,code_lines_count,code_len_word_avg,code_char_entropy,arithm_funcs_ratio,type_convers_funcs_ratio,text_funcs_ratio,obfuscation_funcs_ratio,high_imp_funcs_ratio,auto_funcs_ratio,open_funcs_ratio,get_funcs_ratio,proces_inters_ratio,lines_count,character_entropy,url_count,macro_size,file_size,macro_file_ratio,amount_of_files,code_files
6afe42dd72809e7fe4d02f35aa62a04e73dd44628eea7b54658cbf00b624f271,0.283,280,8,0.029,30,8.8,8,0.267,3,13.333,0.1,0,0,0,0,30,11,8.8,4.712,0,0,0,0,0.067,0.067,0,0,0.033,12,4.712,0,323,28672,0.011,1,1
bd0de9872f7a89f9c5847689204dd4cd9a6250085da59765582cf6c1b2298cdb,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,93696,0.003,1,1
444f83da3fd725edf32d6961069b5666132e71fe80168cd41b7d47cae309d633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,227,34816,0.007,1,1
0c48968856114c13361e42e4a166ac6559626feefe5f2ef1a9c8eff297bf88a9,0.283,261,8,0.031,27,8.778,12,0.444,2,7,0.185,0,0,0,0,27,8,8.778,4.688,0,0,0,0,0,0,0,0,0,8,4.688,0,301,539136,0.001,3,1
27c943e8aff4b3b9f17857c91c4caf2951fe5c5f80ffdb4b6f8003344d6bb706,0.282,259,8,0.031,28,8.679,12,0.429,2,6.833,0.214,0,0,0,0,28,8,8.679,4.621,0,0,0,0,0,0,0,0,0,9,4.621,0,301,27648,0.011,1,1
8f679bb987d9e6f30bfde9ebafe9b2bf97f6276612e0293bb1e2b1e6b2cdb5b8,0.278,265,8,0.03,28,8.893,12,0.429,2,7.833,0.214,0,0,0,0,28,8,8.893,4.716,0,0,0,0,0,0,0,0,0,8,4.716,0,305,15872,0.019,1,1
603dc20647d0879ec0eb2a9930fc7a75fcb243516de19c1f1c51a536fa6dd258,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,472576,0.001,1,1
75510e5929c74bafa50d3d932587f645e14f74a6ecc23481cf74e7ef1a340bee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12800,0,1,0
a829cc2e63041613d264f9d64374be67f7ead0564caed1b830c6f54a59146219,0.267,245,8,0.033,24,9.708,8,0.333,2,16,0.083,0,0,0,0,24,8,9.708,4.552,0,0,0,0,0,0,0,0,0,8,4.552,0,285,1484800,0,1,1
4df6d69ca80a5085c6505dd71f4fa119db64304777a01ae6fa838cf1fab441c4,0.282,259,8,0.031,28,8.679,12,0.429,2,6.833,0.214,0,0,0,0,28,8,8.679,4.621,0,0,0,0,0,0,0,0,0,8,4.621,0,299,346112,0.001,1,1
